,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,毕天宇,2014-06-20,无,"毕天宇先生:硕士,曾任中国燕兴桂林公司汽车经营部经理助理;中国北方工业上海公司经理助理;兴业证券股份有限公司研究员;2002年3月至2005年10月任富国基金管理有限公司行业研究员,2005年11月至2007年4月任汉博证券投资基金基金经理,2007年4月至今任富国天博创新主题混合型证券投资基金基金经理,2014年6月起兼任富国高端制造行业股票型证券投资基金基金经理,2015年6月至2017年10月兼任富国通胀通缩主题轮动混合型证券投资基金基金经理;2016年2月至2019年1月兼任富国城镇发展股票型证券投资基金基金经理;兼任权益投资副总监。具有基金从业资格。2020年1月14日任职富国龙头优势混合型证券投资基金基金经理。",富国龙头优势混合,008138,混合型,2020-01-14,至今,271天,42.78%,26.74%,617|3134
1,,,,,富国城镇发展股票,000471,股票型,2016-02-05,2019-01-14,2年又344天,-44.70%,-1.77%,550|558
2,,,,,富国通胀通缩主题轮动混合,100039,混合型,2015-06-09,2017-10-24,2年又138天,-23.91%,-13.78%,582|961
3,,,,,富国高端制造行业股票,000513,股票型,2014-06-20,至今,6年又115天,233.40%,147.90%,29|248
4,,,,,富国天博创新主题混合,519035,混合型,2007-04-27,至今,13年又171天,286.39%,175.15%,27|189
5,,,,,基金汉博,500035,封闭式,2005-11-26,2007-04-27,1年又152天,192.58%,210.16%,36|47
